OGLE-LMC-RRLYR-02342 18.779 19.327  0.4056033 0.0000016  2166.68550  0.229  0.186 5.619  0.000   -    0.5444828 0.0000051  2166.61714  0.157  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02358 18.926 19.539  0.3654580 0.0000009  2166.67005  0.278  0.179 5.178  0.000   -    0.4908069 0.0000026  2166.68789  0.210  0.187 4.140  0.000   -  
OGLE-LMC-RRLYR-02370 18.882 19.422  0.3523430 0.0000011  2166.71857  0.254  0.167 5.313  0.000   -    0.4737630 0.0000028  2166.82568  0.201  0.206 4.311  0.130 4.344
OGLE-LMC-RRLYR-02383 18.885 19.380  0.3549232 0.0000012  2166.67372  0.273  0.168 5.220  0.000   -    0.4770323 0.0000037  2166.62021  0.161  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02406 18.848 19.399  0.3487368 0.0000011  2166.81926  0.260  0.139 5.174  0.000   -    0.4689256 0.0000031  2166.46278  0.144  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02416 19.068 19.688  0.3603519 0.0000011  2166.73210  0.246  0.197 5.250  0.177 3.798  0.4841022 0.0000056  2166.77460  0.097  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02440 18.848 19.346  0.3542304 0.0000008  2166.73423  0.239  0.077 4.822  0.000   -    0.4763268 0.0000042  2166.82817  0.038  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02454 18.765 19.060  0.4180845 0.0000012  2166.80225  0.247  0.216 5.063  0.149 3.622  0.5602127 0.0000041  2166.35449  0.131  0.289 4.199  0.000   -  
OGLE-LMC-RRLYR-02464 19.015 19.588  0.3619214 0.0000012  2166.83040  0.244  0.212 5.153  0.000   -    0.4864849 0.0000019  2166.70784  0.238  0.269 4.320  0.000   -  
OGLE-LMC-RRLYR-02524 18.920 19.422  0.3562530 0.0000010  2166.56361  0.273  0.244 5.125  0.000   -    0.4787938 0.0000032  2166.74625  0.135  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02546 19.169 19.827  0.3627973 0.0000012  2166.59681  0.254  0.209 5.044  0.000   -    0.4877672 0.0000027  2166.84806  0.249  0.220 3.994  0.000   -  
OGLE-LMC-RRLYR-02569 18.610 19.213  0.4090102 0.0000013  2166.66756  0.230  0.194 5.112  0.000   -    0.5487024 0.0000044  2166.50344  0.132  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02582 18.876 19.396  0.3552155 0.0000008  2166.80266  0.255  0.150 5.657  0.000   -    0.4774354 0.0000035  2166.42138  0.074  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02607 18.784 19.344  0.3796060 0.0000012  2166.81861  0.247  0.125 5.256  0.000   -    0.5098660 0.0000045  2166.47670  0.114  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02617 18.826 19.288  0.3548355 0.0000011  2166.63749  0.250  0.180 5.287  0.000   -    0.4771482 0.0000018  2166.54284  0.230  0.226 4.156  0.000   -  
OGLE-LMC-RRLYR-02626 18.778 19.262  0.3630261 0.0000009  2166.49422  0.266  0.202 5.210  0.124 3.808  0.4875656 0.0000029  2166.38687  0.165  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02633 18.941 19.561  0.3771588 0.0000013  2166.70063  0.263  0.000   -    0.119 3.939  0.5066960 0.0000085  2166.77498  0.040  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02653 18.978 19.571  0.3676778 0.0000012  2166.80166  0.262  0.177 4.848  0.112 3.775  0.4936748 0.0000042  2166.73785  0.124  0.000   -    0.000   -  
OGLE-LMC-RRLYR-02658 18.858 19.326  0.3630658 0.0000010  2166.80032  0.257  0.186 4.778  0.104 2.879  0.4876248 0.0000022  2166.65553  0.215  0.194 4.089  0.000   -  
